flight,time,wind_speed,wind_angle,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,speed,payload,altitude,date,time_day,route,datetime,power
197,0.0,0.8999999761581421,76.0,-79.78274904014837,40.45904281577885,272.731133400023,-0.0161012187600135,0.0015663151862099,-0.9957483410835266,0.0906838178634643,-0.0406668045911288,-0.0107506548555506,0.0149617519851835,-0.0081465421244502,-0.0030132259707897,-0.0165855735540389,-0.074939176607877,0.2493123750016093,-9.810550807714463,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:00.000,-1.3163456200061443
197,0.2,0.8000000119209291,84.0,-79.78274915372738,40.45904278252093,272.72309823197133,-0.0160633940249681,0.0015809286851435,-0.9957486987113952,0.0906866565346717,-0.0267856961697791,-0.0103041300777311,0.0126202553665217,0.0075348857790231,0.0025440549943596,0.0092484140768647,-0.0765902749914676,0.2589722493477165,-9.808282088041306,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:00.200,-1.3163456200061443
197,0.3,0.8000000119209291,84.0,-79.78274924735494,40.45904270337199,272.71616716545816,-0.0160133577883243,0.0016185790300369,-0.995749056339264,0.0906914547085762,-0.0168529569593807,-0.0018849981292202,0.011199370479056,0.0060393391177058,0.0010252819629386,0.0010121191153302,-0.0850253860652446,0.2724007638171315,-9.806242579221726,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:00.300,-1.127997581001379
197,0.5,0.8000000119209291,85.0,-79.7827492249183,40.45904270893318,272.71725681287046,-0.0160422828048467,0.0016143928514793,-0.995746910572052,0.090709388256073,-0.0216927515837834,-0.0035103486469349,0.0116810181317472,-0.0030971709638834,-0.0001865447266027,0.0014068142045289,-0.0770724784210324,0.2575418376736343,-9.809326985478402,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:00.500,-1.128176761632117
197,0.6,0.8000000119209291,85.0,-79.78274924257957,40.45904268634703,272.71265027534963,-0.0160428099334239,0.0016108709387481,-0.9957478046417236,0.0906997770071029,-0.0249454842132089,-0.0058784840638338,0.0137994066225375,0.0054886643774807,0.0012854923261329,0.0096689583733677,-0.0793870896007865,0.2845993895642461,-9.805699372887611,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:00.600,-1.128176761632117
197,0.8,0.8000000119209291,85.0,-79.78274921129321,40.45904269687763,272.7139743999839,-0.0160517916083335,0.0016108056297525,-0.9957476258277892,0.0907003283500671,-0.0308867778555303,-0.0075661913415604,0.0143380595861174,-0.0089721847325563,-0.0053164572454988,-0.0104407155886292,-0.0833792669512331,0.2829881344735622,-9.804600681066514,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:00.800,-1.128296245719552
197,0.9,0.8000000119209291,86.0,-79.78274920420762,40.4590426546275,272.7094639078975,-0.0160584561526775,0.0016501676291227,-0.9957457184791564,0.0907196402549743,-0.0348156544556969,-0.005062236504892,0.0161730816938239,-0.0130822341889143,-0.0041250558570027,-0.0004591373435687,-0.0772912191040813,0.2621016974374652,-9.807314958572386,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:00.900,-0.5640883808160574
197,1.1,0.8000000119209291,86.0,-79.78274916304795,40.45904266600404,272.71098475021125,-0.0160545445978641,0.0016288924962282,-0.9957455992698668,0.0907217413187027,-0.0378713382761123,-0.0073414082653531,0.0165057177667012,0.0035507902503013,0.0034530900884419,-0.0017756767338141,-0.0789067773800343,0.2765885213948786,-9.806198140382769,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:01.100,-0.7521974971463672
197,1.21,0.8000000119209291,82.0,-79.78274919988164,40.45904263658053,272.70665481549497,-0.0160508602857589,0.0016666664741933,-0.9957454800605774,0.0907222777605056,-0.036817874941842,-0.0077287716437327,0.0180218625326374,-0.006659158039838,-0.0001760668237693,-0.0104482183232903,-0.0763841880485415,0.2545185896381736,-9.809497139453889,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:01.210,-0.7519585896387163
197,1.4,0.8000000119209291,75.0,-79.7827493056818,40.45904257088462,272.698291449368,-0.0160045474767684,0.0017086708685383,-0.9957449436187744,0.090735912322998,-0.025102183492394,-0.0029882655663591,0.0146192125451486,0.0038821594789624,0.0041902535594999,0.0077076898887753,-0.0736002510180696,0.2532870746590197,-9.809476089477537,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:01.400,-0.5641182745881231
197,1.5,0.699999988079071,73.0,-79.78274923713731,40.45904258900968,272.70111679148675,-0.0160160418599843,0.0017109214095398,-0.9957465529441832,0.0907167270779609,-0.0332270944638013,-0.0066660600813644,0.0153964205385647,0.0089473528787493,0.0032980614341795,0.0046590850688517,-0.0847934617381543,0.2800347423925996,-9.805622189641,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:01.500,-0.7521178410880772
197,1.7,0.8000000119209291,69.0,-79.78274937247897,40.45904253384491,272.69513254475595,-0.015969818457961,0.0017344870138913,-0.9957455396652222,0.0907348021864891,-0.0217851904113344,-0.0054095137398868,0.016214987315757,-0.004961063619703,-0.0025874725542962,0.0018164725042879,-0.0806889538932591,0.2592528791539371,-9.80819905757904,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:01.700,-0.9403464415058218
197,1.8,0.8000000119209291,67.0,-79.78274941634449,40.45904248399682,272.69064476948984,-0.0159605219960212,0.0017527171876281,-0.9957440495491028,0.0907522216439247,-0.0228178925478473,-0.0029849940993532,0.0172206390620492,0.0042637968435883,0.0023143661674112,0.0059658540412783,-0.0815128996688872,0.2814818186312914,-9.805712821483612,10.0,250.0,25,2019-07-15,8:20,R1,2019-07-15 08:20:01.800,-0.5641481228597749
